"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript React", "Markdown", "CSS", "HTML", "SCSS", "YAML", "comment", "blank", "total"
"d:\code\source code\vue-next\.circleci\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 8, 53
"d:\code\source code\vue-next\.eslintrc.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 44, 1, 67
"d:\code\source code\vue-next\.github\FUNDING.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\code\source code\vue-next\.github\ISSUE_TEMPLATE\config.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\code\source code\vue-next\.github\commit-convention.md", "Markdown", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 36, 92
"d:\code\source code\vue-next\.github\contributing.md", "Markdown", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 100, 266
"d:\code\source code\vue-next\.github\workflows\release-tag.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 24
"d:\code\source code\vue-next\.github\workflows\size-check.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"d:\code\source code\vue-next\.prettierrc", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\code\source code\vue-next\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1115, 0, 0, 0, 0, 0, 675, 1790
"d:\code\source code\vue-next\README.md", "Markdown", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 30, 101
"d:\code\source code\vue-next\api-extractor.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 51
"d:\code\source code\vue-next\example\index.html", "HTML", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 2, 35
"d:\code\source code\vue-next\jest.config.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 19, 1, 47
"d:\code\source code\vue-next\package-lock.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 23645, 0, 23656
"d:\code\source code\vue-next\package.json", "JSON", 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 81
"d:\code\source code\vue-next\packages\compiler-core\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\code\source code\vue-next\packages\compiler-core\__tests__\codegen.spec.ts", "TypeScript", 0, 0, 736, 0, 0, 0, 0, 0, 0, 7, 38, 781
"d:\code\source code\vue-next\packages\compiler-core\__tests__\compile.spec.ts", "TypeScript", 0, 0, 211, 0, 0, 0, 0, 0, 0, 4, 47, 262
"d:\code\source code\vue-next\packages\compiler-core\__tests__\parse.spec.ts", "TypeScript", 0, 0, 2579, 0, 0, 0, 0, 0, 0, 11, 172, 2762
"d:\code\source code\vue-next\packages\compiler-core\__tests__\scopeId.spec.ts", "TypeScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 5, 6, 87
"d:\code\source code\vue-next\packages\compiler-core\__tests__\testUtils.ts", "TypeScript", 0, 0, 72, 0, 0, 0, 0, 0, 0, 5, 5, 82
"d:\code\source code\vue-next\packages\compiler-core\__tests__\transform.spec.ts", "TypeScript", 0, 0, 317, 0, 0, 0, 0, 0, 0, 13, 36, 366
"d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\hoistStatic.spec.ts", "TypeScript", 0, 0, 579, 0, 0, 0, 0, 0, 0, 3, 32, 614
"d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\noopDirectiveTransform.spec.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 2, 25
"d:\code\source code\vue-next\packages\compiler-core\__tests__\transforms\transformElement.spec.ts", "TypeScript", 0, 0, 814, 0, 0, 0, 0, 0, 0, 20, 68, 902
